,short_description,category,gpt_gen_category
17,"The injustice of women trapped in unhappy marriages by husbands who refuse to let them go has long been acknowledged in religious Jewish communities. If a woman cannot get a ""gett,"" she is not officially divorced, and therefore is not free to remarry.",ENTERTAINMENT, RELIGION
18,"Ronnie Gilbert, an original member of the legendary folk group, the Weavers, died today (June 7) at the age of 88. While the prodigiously talented Pete Seeger was clearly the most noted member of the group (Fred Hellerman and Lee Hays were the other two members), it was Ronnie Gilbert who gave the Weavers their lyrical elegance.",ENTERTAINMENT, ENTERTAINMENT
19,"""You're being naive and stupid, something you never were before,"" Mandy Patinkin's Saul tells Claire Danes's Carrie in the",ENTERTAINMENT, ENTERTAINMENT
20,"Rob Reiner says his new movie was inspired by Jack Nicholson.  When they were talking to the press about their film, The Bucket List, Nicholson was asked what he wanted to be sure he did before he died.",ENTERTAINMENT, ENTERTAINMENT
21,"""The Dark Knight Rises"" director was honored during a hand and footprint ceremony at Grauman’s Chinese Theatre in Los Angeles",ENTERTAINMENT, ENTERTAINMENT
22,"These days, I catch myself pretending to know what my young colleagues are talking about when they refer to some hot new topliner (that's new school speak for lyricist) with a perplexingly random moniker such as Catnip or Carpeting.",ENTERTAINMENT, ENTERTAINMENT
23,"HuffPost Live's ""Spoiler Alert"" discusses the chances of Glenn's survival following the show's latest episode.",ENTERTAINMENT, ENTERTAINMENT
24,"""Musical used to be a dirty word when you are going to these studio meetings. But the word has taken on a better patina lately.""",ENTERTAINMENT, ENTERTAINMENT
25,"Two of my life's guideposts, American Bandstand and The Band, drew their last breaths a week ago with the deaths of Dick Clark and Levon Helm. Now the bandstand is less full, the songs less soothing, the beat a little harder to dance to...",ENTERTAINMENT, ENTERTAINMENT
26,"The news that The Testament of Mary would close on Sunday hung in the air for Friday evening's performance, more prominently",ENTERTAINMENT, ENTERTAINMENT
27,I figured that I'd never bond with my daughters over music. But something happened a few months ago that may have turned the tables --  literally.,ENTERTAINMENT, ENTERTAINMENT
28,"As the unfortunate news of Adam ""MCA"" Yauch's passing spread across the internet, countless musicians and celebrities penned",ENTERTAINMENT, ENTERTAINMENT
29,"Viewers were furious when swimmer Michael Phelps raced a CGI shark, and not a real one, for a Shark Week special.",ENTERTAINMENT, SPORTS
30,"""To turn them away and say there is no way you can ever get here would play right into the terrorists’ hands.""",POLITICS, POLITICS
31,"Pennsylvania Senator Pat Toomey’s office was one that was bombarded with phone calls, faxes, texts, tweets, emails, and messages",POLITICS, POLITICS
32,"The Orlando shooting may be on their minds, but the justices probably won't take up a new gun rights case for a while.",POLITICS, POLITICS
33,"By the standards of the World Health Organization (WHO), almost all abortions are unsafe in certain regions, such as Africa or Central and South America. If abortion care were made available with U.S. aid as it is in the U.S., a significant number of women's lives would be saved.",POLITICS, POLITICS
34,Hillary Clinton’s presidential campaign reportedly paid for parts of a dossier that detailed accusations about Trump’s ties to Russia.,POLITICS, POLITICS
35,"""Got any assignments you want to throw at me?” Alexei Wood asked in one email to an editor before Jan. 20.",POLITICS, POLITICS
36,"In every great nation in every time, the idea for which we serve is always lost, long before the fall.",POLITICS, RELIGION
37,"In the last month alone, three bills expanding Social Security have been introduced.  The three add to a growing number which see Social Security as the solution to a looming retirement income crisis.",POLITICS, POLITICS
38,Her support of single-payer health care will serve her well with the more progressive wing of the party.,POLITICS, POLITICS
39,"This post is not so much why the current senate (draft?) bill, “Better Care Reconciliation Act of 2017” (“Better Care Act",POLITICS, POLITICS
40,Republicans have proposed a $618 billion offer that the president and treasure secretary say is insufficient.,POLITICS, POLITICS
41,It’s going to be an interesting week…. 1. Arrests were made in Portland at pro and anti-Trump protests. It’s a weird world,POLITICS, RELIGION
42,Even Republicans who are a little worried about Trump are fine letting him take the reins of an undeclared war.,POLITICS, POLITICS
43,"With a pen stroke, the president ""is preventing people from being able to take protective measures ahead of time.""",POLITICS, POLITICS
44,White House spokesman Sean Spicer said Trump plans to address  the existence of any tapes of conversations between him and Comey.,POLITICS, POLITICS
45,"""I’ve seen something like gay marriage go from a wedge issue used to drive us apart to a story of freedom across our country.""",POLITICS, POLITICS
46,"As the United Auto Workers seek a foothold in the region, the automaker is telling its Mississippi employees that a ""yes"" vote could jeopardize everything they have.",POLITICS, POLITICS
47,"Senate Republicans already have a thin margin for error, but they’re hoping to finish their tax bill before the Alabama winner is seated.",POLITICS, POLITICS
48,"The public is split on whether the nomination should have been left to Donald Trump, but a plurality want to see Neil Gorsuch confirmed.",POLITICS, POLITICS
49,"The president has showcased his spotty efforts to help Americans like aid worker Aya Hijazi, who was freed from Egyptian custody after Trump's intervention.",POLITICS, POLITICS
50,Wasn’t there a time when the prospect of having Hillary Clinton become the first female president of the United States seemed,POLITICS, POLITICS
51,"Maybe Tom Cruise of Jerry Maguire fame should play James Damore in the movie version – “It’s not a memo, it’s a mission statement",POLITICS, POLITICS
52,"""I don't know what I believe the answer is, but I will tell you if I win I will think the system works pretty well.""",POLITICS, POLITICS
53,"It is a shame that we have not yet had a female president. It is wrong that, even in 2016, Hillary Clinton (or any woman, for that matter) is still treated unjustly by a system and society that is pathologically patriarchal.",POLITICS, POLITICS
54,"The Reagan appointee and Clinton prober says Merrick Garland deserves hearings and a vote as a matter of ""good government.""",POLITICS, POLITICS
55,Conservative and liberal advocacy groups are gearing up for a ferocious political brawl over President Obama’s pick to fill,POLITICS, POLITICS
56,"Mr. Carson’s biography, a rise from poverty to become a top neurosurgeon at Johns Hopkins University, is central to his candidacy",POLITICS, POLITICS
57,"The U.S. stands alone with Papua New Guinea in having no paid leave program for new mothers. By comparison, all of the countries we trade with and a total of 178 nations across the globe have a form of paid family leave, usually for women after childbirth but in many countries, for men as well.",POLITICS, POLITICS
58,Googlers united against the president's decision to restrict immigration and travel from certain predominantly Muslim countries.,POLITICS, POLITICS
59,"“We stand with the Iranian people so much that we won’t let them come here,” said a former U.S. ambassador to the U.N.",POLITICS, POLITICS
60,"Like most Americans, I was mad on 9/11, and with good reason. Before coming to LaGrange College, I worked as a researcher",RELIGION, RELIGION
61,The State Department is making a big mistake in putting off a decision on the appointment of a Special Envoy to Monitor and,RELIGION, POLITICS
62,"Yes, it's true. No, I'm not going through an early mid-life crisis. Yes, I've really thought about it. No, my values have not changed. Yes, I'm sure. This is how my end of the conversation goes when I tell my friends that I'm in the process of becoming Catholic.",RELIGION, RELIGION
63,"How many children has our greed killed?  How many children grow up without proper education?  How many children are subjected to the slow deaths of racism, homophobia and sexism?  How many children are dead because of our thirst for guns and violence?  The questions can go on and on.",RELIGION, RELIGION
64,"Whether or not you think the Church of the Flying Spaghetti Monster is a joke, the stakes are quite serious. Indeed, they go right to the heart of two essential questions: What is nature of religion, and what is the role of government?",RELIGION, RELIGION
65,“You know the difference between ‘your’ and ‘you’re.’” That line shows up in a JDate profile. It’s from the section where,RELIGION, WEDDINGS
66,PHILADELPHIA (AP) - A prison that Pope Francis plans to visit during his U.S. trip houses a former church official jailed,RELIGION, RELIGION
67,What a week it’s been. It’s hard to conceive that despite opposition from hundreds of organizations including the American,RELIGION, POLITICS
68,"This year, in our church's All Saints celebration, I lit a candle to my birth parents Ken and Sophia, to birth grandparents Clinton and Jessie, to Katie and John, my saints I'll never meet, but whose genes are the weft and warp in the tapestry that is me.",RELIGION, RELIGION
69,"As our survivor population ages, we will be facing this level of loss more and more: the last survivor from a specific place, the final story of a given moment.",RELIGION, RELIGION
70,"The pope alluded to the wave of xenophobia and hate that marked the Donald Trump campaign, as well as nationalist movements elsewhere.",RELIGION, RELIGION
71,"It's a beautiful answer, completely true, but it doesn't help when you are older. When we see what goes on in the world, we often ask ourselves the very same question, ""Where is God?""",RELIGION, RELIGION
72,"Every MLK Day, the Reverend Doctor's sage wisdom and booming voice seem like echoes of a past farther and farther away. Had he somehow escaped assassins' bullets, I can imagine him grey and dignified, bringing his prophetic wisdom to today's crises. More than ever, we could use his help to remember how to live together.",RELIGION, RELIGION
73,"Perhaps you know his name from his book Jesus: The Human Face of God, or perhaps you know him as author of The Last Station, which was turned into an Academy Award-nominated film.",RELIGION, RELIGION
74,"I believe the two most basic religious questions are: ""What can I trust?"" and ""Am I alone?""  The immoral failure of schools of higher learning to be a place students can trust is, in the broadest sense, a betrayal of this religious value.",RELIGION, RELIGION
75,"This article was first published in The Jerusalem Post. “Success is not final, failure is not fatal: it is the courage to",RELIGION, POLITICS
76,"Pope Francis began a 10-day trip to Cuba and the United States on Saturday, embarking on his first trip to the onetime Cold",RELIGION, POLITICS
77,"Pope Francis has shown us a faithful, peaceful approach to the Palestinian/Israeli conflict. All of us can follow his example.  We are all Pope Francis now.  It is up to all of us.",RELIGION, RELIGION
78,(RNS) Seventh-day Adventists voted Wednesday (July 8) not to allow their regional church bodies to ordain women pastors. The,RELIGION, RELIGION
79,"The causes of our environmental crisis are more complex than any single religion. We can neither vilify Christianity, nor idealize ancient pagan religions.",RELIGION, RELIGION
80,Our perception of the world is horribly off because the scale we use to measure ourselves is skewed and it will never be stacked in our favor unless there is a radical transformation. And that transformation does not exist outside of an encounter with Jesus.,RELIGION, RELIGION
81,"Though I had said Kaddish for my father's father at Bergen Belsen, where I had always assumed he died because my father and his sister had been prisoners there, I discovered that he had actually been a prisoner at Auschwitz. Why had my father never told me?",RELIGION, RELIGION
82,"Before embarking on the information modules, a philosophic overview of religious diversity training should be considered. There will be people who are skeptical, or hostile, to anything labeled as interfaith.",RELIGION, RELIGION
83,Bill O'Reilly disputed the two main points of my recent blog on The O'Reilly Factor broadcast: My affirmation of Jesus' lifelong dedication to Judaism (meaning he did not start a new religion) and the assertion that Renaissance art representations of Jesus omit his Jewish identity and thus falsify biblical history.,RELIGION, RELIGION
84,"Scripture tells us that the weeping may last the night but joy comes in the morning. I sure hope so, because my heart is broken. Michael Brown is one of too many men and boys of color targeted and dehumanized by a system that operates as though some people are worth more than others.",RELIGION, RELIGION
85,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",RELIGION, RELIGION
86,"It is fair to describe Pope Francis's summons as a call to Christian adulthood, but not in some superficial or trite sense.  Rather he expects all Catholics to show a spirit of leadership,  independence, and good judgment.",RELIGION, RELIGION
87,"Jesus has gone; he couldn't save Judas, and he won't intercede for David Biro. But we are here. We can turn around and look for them, these young people whose crimes condemned them forever. We can go back for them.",RELIGION, RELIGION
88,"As a Taoist monk, I find the notion of the Earth as a superorganism to make perfect sense; I also find the notion of evolution as a propulsive, all-encompassing, and all-pervasive force to be completely congruent with the ancient Chinese concept of Tao.",RELIGION, RELIGION
89,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",RELIGION, RELIGION
90,"""Because of Selig's grip on the role, of course, it is entirely unclear throughout all areas of the sport, from the league",SPORTS, SPORTS
91,ACC = Orange; Big Ten = Rose; Big 12 = Fiesta; Pac-12 = Rose; SEC = Sugar I will revisit these projections one more time,SPORTS, SPORTS
92,The ball was in the air and the game was on the line. Utah Jazz forward Derrick Favors grabbed hold of both and delivered,SPORTS, SPORTS
93,"U.S. District Judge Richard M. Berman encouraged a settlement, calling it a ""logical and rational option.""",SPORTS, SPORTS
94,"Guys like Green are hard to find. It's going to be even harder to try to coach up the next Draymond Green. Some of what he does on the court isn't taught, it's innate.",SPORTS, SPORTS
95,"In many ways, Winston represents the perfect reputation zeitgeist for the NFL.  He's an awesome football player with perceived character issues.  That makes him less likable, and in the case of some Tampa Bay fans -- particularly women -- he hurts the overall experience.",SPORTS, SPORTS
96,"Marcus Mariota, quarterback of Oregon, currently ranked fourth in our College Football Power Rankings, is looking to win his first career game over Stanford this Saturday.",SPORTS, SPORTS
97,"In the minds of most New York Mets' fans, the hunt for Jose Reyes' replacement -- now four seasons after his uncontested free-agent departure -- is still an ongoing journey. Needless to say, current Mets' shortstop Wilmer Flores' performance through May is doing little to inspire fans to move on.",SPORTS, SPORTS
98,"""In order to change the culture, you need to make drastic rule changes ... Changing football is something that keeps Tom alive.""",SPORTS, SPORTS
99,"The San Antonio Spurs are mostly a team of immigrants, playing for a city with many immigrants, and like the immigrant body itself -- seldom flashy, often underappreciated and often working under the radar -- the Spurs continue to persevere for their own sake whether America will have them or not.",SPORTS, SPORTS
100,The disparity between NBA data — even data across all male sports — and WNBA data is glaring. Data for the WNBA is relegated,SPORTS, SPORTS
101,"All talk last week revolved around deflated balls. New England Patriots quarterback Tom Brady was found probably guilty, I guess that's the word, of tampering with his balls. Footballs that is. Everywhere I looked. Balls! Balls! Balls!",SPORTS, SPORTS
102,Portugal coach Paulo Bento should recall new Valencia signing Joao Pereira to the starting XI in place of Miguel Lopes at,SPORTS, SPORTS
103,"The swim star said it wasn't excused by America maybe having ""extremely high standards for this sort of thing.""",SPORTS, SPORTS
104,The Hall of Fame running back gave the tickets to his sister and said he would probably watch the Rams-Bengals game at home.,SPORTS, SPORTS
105,Wisconsin forward Zach Bohannon scored big at the Final Four before any of the games were even played. A fifth-year graduate,SPORTS, SPORTS
106,"NBA Hall of Famer Moses Malone died on Sunday at age 60. The Philadelphia 76ers confirmed the ""passing of a legend"" in a",SPORTS, SPORTS
107,Overall Record: 25-6 Conference Record: 13-3 PPG: 74 Points Allowed: 63.2 AP Ranking: 24 RPI: 25 KenPom Ranking: 32 Standout,SPORTS, SPORTS
108,"""We strongly believe that the decision to expel Jack Montague was wrong, unfairly determined, arbitrary, and excessive by any rational measure.""",SPORTS, SPORTS
109,"Allez les bleus! Ooops, no sorry, that's for football (what some call soccer, whatever). Saturday, July 5 saw the departure of the three-week long Tour de France starting in... Leeds, Yorkshire in the north east of England, don't ask.",SPORTS, SPORTS
110,February 10th is the first of 30 Sundays until the 2013 NFL season kicks off in Baltimore on September 5. To ease you off,SPORTS, SPORTS
111,The Cincinnati Bengals quarterback took flak for lighthearted swagger after he led his team to a win over Kansas City and a berth in the Super Bowl.,SPORTS, SPORTS
112,"Jose Torres almost put the U.S. up two goals again when his cleverly-taken quick free kick surprised everybody, but it clanged",SPORTS, SPORTS
113,"""I feel anyone in my color in particular is of concern. I do have nephews that I'm thinking, 'do I have to call them and tell them, don't go outside.'""",SPORTS, POLITICS
114,Ask someone about the sweetest part of Jeremy Lin's out-of-nowhere rise to stardom with the New York Knicks and you might,SPORTS, SPORTS
115,"A few months ago, Kellen Moore's career took one step forward. By the start of minicamp, it took two steps back when Lions GM Martin Mayhew verbally slapped it away.",SPORTS, SPORTS
116,"WHAT! By Jose Martinez, Complex Sports Whether you're mentally ready for it or not, Gus Johnson is already in March Madness",SPORTS, SPORTS
117,"""I feel great, my weight is back, my energy is back and again, it's just a blessing to be back here,"" Pagano told reporters",SPORTS, SPORTS
118,"In today's NFL full of pass-happy offenses and hybrid defensive fronts, football reasons alone can't justify why an award-winning pass-rusher like Sam fell so far in the draft.",SPORTS, SPORTS
119,"Lincecum hopes this is an overall change — mind, body and attire. ""I wanted something different. Usually I'd take like six",SPORTS, SPORTS
120,"As much as I preach about not being a bitch during your wedding planning, it's also important not to be a bitch during your marriage. And frankly, that was me this past weekend.",WEDDINGS, WEDDINGS
121,"No matter how carefully you plan, no matter what you do, certain ""types"" of people will be at your wedding. Maybe you can blame your new groom's family, but be honest, some are on your side.",WEDDINGS, WEDDINGS
122,"Carolina Herrera and Vera Wang were two of the fashionistas who led the way for other fashion designers to enter what had been a staid, locked-in-the past, formula-driven business.",WEDDINGS, ENTERTAINMENT
123,"They didn't want a band because they think it's hard to find a great one. They felt that DJs can fall a little flat. So they asked me to find them a VJ. Yes, VJ. Video Jockey. Think MTV before"" Jersey Shore.""",WEDDINGS, WEDDINGS
124,"Through sickness and health -- and rain or shine? In this video, CNN iReporter Scott Thornton, who was a guest at the couple's",WEDDINGS, WEDDINGS
125,"When you walk into a bridal salon and see all those gorgeous gowns hanging in a perfectly neat row or dressed on a mannequin, do you ever stop to think how it got there?",WEDDINGS, WEDDINGS
126,"One New York artist didn't shout his love from the rooftops -- he graffitied it! Jason ""Jay Shells"" Shelowitz proposed to",WEDDINGS, WEDDINGS
127,Photo: Hudson River Photographers/The Knot Apps Paired with Mini Drinks Wine pairings are always nice but the new idea is,WEDDINGS, WEDDINGS
128,San Francisco engineer Ben Kokes proposed to his girlfriend earlier this month with a ring that lights up when he is nearby,WEDDINGS, WEDDINGS
129,"That Kitchen-Aid mixer you just never sprung for, or that dinnerware set for the ""adult"" dinner parties you may finally throw",WEDDINGS, WEDDINGS
130,"Seems like back when our mothers got married, shopping for a wedding dress was so much simpler. They went with their moms",WEDDINGS, WEDDINGS
131,What's your take: Would you buy your wedding cake from a supermarket? Catch the full interview on WSJ Live above and click,WEDDINGS, WEDDINGS
132,"""Michelle, I have never loved you more,"" he said. ""I have never been prouder to watch the rest of America fall in love with",WEDDINGS, WEDDINGS
133,Click through the slideshow below to see our favorite proposals of all time. Though a 2012 survey showed that no men want,WEDDINGS, WEDDINGS
134,"The 2013 Cannes Film Festival wrapped up on Saturday, and the fashion verdict is in: it's all about white! Throughout the",WEDDINGS, ENTERTAINMENT
135,"When Matthew McConaughey and Camila Alves married on Saturday, almost immediately I found myself thinking, ""I love this wedding",WEDDINGS, WEDDINGS
136,"When you picture a beach wedding, chances are you're dreaming of the soft sand, cool ocean breeze and gorgeous sunset in the distance. But do your dreams include crowds of nosy onlookers, gusts of wind ruining your wedding hair or mosquitoes?",WEDDINGS, WEDDINGS
137,"Oh weddings. They are such a joyous occasion. The flowers, the guests, the dress, the music, the emails, etc., Wait what",WEDDINGS, WEDDINGS
138,"The country couple celebrated their second wedding anniversary on May 14 with some sweet tweets. Happy anniversary, Blake",WEDDINGS, WEDDINGS
139,"Along with the rise of marriage counseling in the 1950s, and a deep-seated fear of divorce, came the idea that marriage is work -- and that it's mostly the wife's job to do it -- and a slew of relationship ""experts"" and a multimillion-dollar self-help industry to help us with that.",WEDDINGS, WEDDINGS
140,"Ok, so here are some things I'd do differently. Joan and Peter [names have been changed]: you were divine. Looked tip-top, were generous to have me, and threw a fabulously foodie party. It could have been anyone's wedding that prompted these thoughts.",WEDDINGS, WEDDINGS
141,"8) ""I am grateful to my husband Mike for filling every day of my life with laughter. For always being honest with me, even",WEDDINGS, WEDDINGS
142,"News that a lesbian couple will be allowed to ""perform"" a non-legally binding commitment ceremony in Tokyo Disneyland is",WEDDINGS, WEDDINGS
143,"Summer may be winding down, but the love between our readers who tied the knot this weekend is still red-hot! Click through",WEDDINGS, WEDDINGS
144,"Some people think they know what's best for you better than you do. And if one of them speaks up during your engagement, it can make you second-guess yourself or ruin the relationship you have with that person.",WEDDINGS, WEDDINGS
145,"During that time, the Los Angeles Police Department received a call about two suspects breaking into cars near Johnson's",WEDDINGS, SPORTS
146,"Oh, Pinterest. Never before has there been a tool that allows us to indulge in so many wedding fantasies (even when we don’t",WEDDINGS, WEDDINGS
147,Is this your first time being a part of a wedding party? Are you an old-timer but want some ideas on how to make your role in the upcoming wedding the best possible for the bride? These five foolproof ways will lead you in the right direction to becoming the best bridesmaid ever.,WEDDINGS, WEDDINGS
148,"Wedding planner to the stars Mindy Weiss has been the creative force behind the nuptials of Hilary Duff, Nicole Richie and",WEDDINGS, WEDDINGS
149,"Forget everything you know about wedding ceremonies, because this Irish priest just took things to a holy new level. Father",WEDDINGS, WEDDINGS
